Questions,Answers
What percentage of Bergen County households were renters in 1990?,"In 1990, 32.1% of Bergen County households were renters."
What was the percentage of Bergen County residents born in New Jersey in 2020?,"In 2020, 58% of Bergen County residents were born in New Jersey."
What was the percentage of Bergen County's population aged 75 and older in 1990?,"In 1990, 6.9% of Bergen County's population was aged 75 and older."
How many Bergen County residents identified as Arab in 2020?,"In 2020, around 15,000 Bergen County residents identified as Arab."
What was the percentage of Bergen County residents living in overcrowded housing in 2020?,"In 2020, 3% of Bergen County residents lived in overcrowded housing."
What was the percentage of Bergen County's population that identified as Hispanic or Latino in 1980?,"In 1980, 3.4% of Bergen County's population identified as Hispanic or Latino."
How many Bergen County residents were aged 10-19 in 2010?,"In 2010, 117,867 Bergen County residents were aged 10-19."
What was the total number of single-person households in Bergen County in 2020?,"In 2020, Bergen County had approximately 99,161 single-person households."
What was the percentage of Bergen County's population aged 25-44 in 2000?,"In 2000, 29.0% of Bergen County's population was aged 25-44."
"How many Bergen County households earned between $50,000 and $74,999 in 2010?","In 2010, approximately 18% of Bergen County households earned between $50,000 and $74,999."
What was the percentage of Bergen County residents with no high school diploma in 2020?,"In 2020, 7.6% of Bergen County residents aged 25 and older had no high school diploma."
How many Bergen County housing units were heated with electricity in 2020?,"In 2020, approximately 15% of Bergen County housing units were heated with electricity."
What percentage of Bergen County's residents spoke Spanish at home in 2020?,"In 2020, 14% of Bergen County's residents spoke Spanish at home."
What was the total number of Bergen County residents employed in the arts and recreation sector in 2010?,"In 2010, around 4,000 Bergen County residents were employed in the arts and recreation sector."
How many Bergen County residents were aged 40-49 in 1990?,"In 1990, there were 128,000 Bergen County residents aged 40-49."
What was the percentage of Bergen County's population that identified as Irish in 2000?,"In 2000, 15% of Bergen County's population identified as Irish."
How many Bergen County residents identified as German in 2020?,"In 2020, around 60,000 Bergen County residents identified as German."
What was the percentage of Bergen County's population living below 50% of the poverty level in 2020?,"In 2020, 3.2% of Bergen County's population lived below 50% of the poverty level."
What was the average age of Bergen County's population in 1990?,The average age of Bergen County's population in 1990 was 37.6 years.
How many Bergen County residents were aged 70-79 in 2010?,"In 2010, approximately 40,000 Bergen County residents were aged 70-79."
What percentage of Bergen County housing units were classified as vacant in 2015?,"In 2015, 4.7% of Bergen County housing units were classified as vacant."
How many Bergen County residents were employed in finance and insurance in 2010?,"In 2010, approximately 30,000 Bergen County residents were employed in finance and insurance."
What percentage of Bergen County's population was foreign-born in 1990?,"In 1990, 18% of Bergen County's population was foreign-born."
What was the median value of owner-occupied housing units in Bergen County in 1980?,"In 1980, the median value of owner-occupied housing units in Bergen County was $90,000."
"How many Bergen County households had incomes exceeding $200,000 in 2010?","In 2010, around 12% of Bergen County households had incomes exceeding $200,000."
What was the percentage of Bergen County residents who were self-employed in 1980?,"In 1980, 7% of Bergen County residents were self-employed."
How many Bergen County residents worked in the utilities sector in 2020?,"In 2020, fewer than 1% of Bergen County residents worked in the utilities sector."
What was the percentage of Bergen County's population aged 30-39 in 2010?,"In 2010, 13.6% of Bergen County's population was aged 30-39."
What was the total population of Bergen County in 1970?,"The total population of Bergen County in 1970 was approximately 900,000."
How many Bergen County residents identified as Polish in 2020?,"In 2020, around 40,000 Bergen County residents identified as Polish."
What percentage of Bergen County housing units were built between 1940 and 1959?,Approximately 35% of Bergen County housing units were built between 1940 and 1959.
What was the average household size for renter-occupied units in 1990?,"In 1990, the average household size for renter-occupied units in Bergen County was 2.3 persons."
How many Bergen County residents were aged 50-64 in 2000?,"In 2000, there were approximately 150,000 Bergen County residents aged 50-64."
What percentage of Bergen County households were classified as non-family households in 1980?,"In 1980, 22.9% of Bergen County households were non-family households."
How many Bergen County residents identified as Italian in 1990?,"In 1990, approximately 100,000 Bergen County residents identified as Italian."
What percentage of Bergen County's workforce worked in Bergen County in 2010?,"In 2010, 62% of Bergen County's workforce worked in Bergen County."
What was the percentage of Bergen County housing units with no heating fuel in 2020?,"In 2020, 2% of Bergen County housing units had no heating fuel."
How many Bergen County residents identified as Jewish in 2020?,"In 2020, around 85,000 Bergen County residents identified as Jewish."
What was the percentage of Bergen County residents aged 85 and older in 1980?,"In 1980, 2.0% of Bergen County residents were aged 85 and older."
How many Bergen County households had no access to a computer in 2020?,"In 2020, approximately 5% of Bergen County households had no access to a computer."
What was the percentage of Bergen County's population that identified as Chinese in 2010?,"In 2010, 2.0% of Bergen County's population identified as Chinese."
How many Bergen County residents identified as Puerto Rican in 1980?,"In 1980, approximately 10,000 Bergen County residents identified as Puerto Rican."
What percentage of Bergen County's population was aged 18-24 in 1990?,"In 1990, 7.8% of Bergen County's population was aged 18-24."
"What was the percentage of Bergen County households with incomes below $30,000 in 2000?","In 2000, 25% of Bergen County households had incomes below $30,000."
How many Bergen County residents were employed in the information technology sector in 2020?,"In 2020, around 4% of Bergen County residents were employed in the information technology sector."
What was the median monthly rent for apartments in Bergen County in 1980?,The median monthly rent for apartments in Bergen County in 1980 was $400.
What percentage of Bergen County's population aged 25+ had a bachelor’s degree in 1990?,"In 1990, 26% of Bergen County residents aged 25+ had a bachelor’s degree."
How many Bergen County residents lived in duplex housing units in 2020?,"In 2020, approximately 30,000 Bergen County residents lived in duplex housing units."
What was the percentage of Bergen County's population that was aged under 18 in 1980?,"In 1980, 23.6% of Bergen County's population was aged under 18."
